bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,day,month,year,price
3,2.75,3070,5280,2.0,0,1,3,7,2360,710,1950,1986,98166,47.4486,-122.353,2570,18983,16,9,2014,350000.0
3,1.0,1300,3600,2.0,0,0,3,7,1300,0,1900,0,98119,47.6345,-122.366,2510,4800,28,4,2015,819000.0
3,2.0,2290,5001,1.0,0,0,4,7,1490,800,1960,0,98103,47.6909,-122.339,1230,5001,30,4,2015,745000.0
4,3.5,3660,14401,2.0,0,0,3,10,2660,1000,1994,0,98023,47.3076,-122.396,2780,10653,10,10,2014,475000.0
3,2.75,2540,8604,2.0,0,0,3,8,2540,0,1991,0,98092,47.3209,-122.185,2260,7438,21,7,2014,359950.0
2,1.0,1060,4000,1.0,0,0,4,7,1060,0,1910,0,98115,47.6731,-122.315,1770,4000,20,4,2015,570000.0
2,1.0,1350,8220,1.0,0,0,3,7,1060,290,1949,0,98177,47.7224,-122.358,1540,8280,7,1,2015,330000.0
4,2.5,2810,10613,2.0,0,0,3,9,2810,0,1989,0,98006,47.5424,-122.141,2800,9933,22,6,2014,810000.0
3,1.5,1840,5000,1.5,0,0,5,7,1340,500,1915,0,98107,47.6652,-122.362,1840,5000,25,6,2014,750000.0
5,3.5,3020,15305,2.0,0,0,3,10,2230,790,1978,0,98040,47.5627,-122.216,3680,14486,24,4,2015,754000.0
7,3.75,5100,21802,2.0,0,0,3,10,3640,1460,2001,0,98075,47.595,-122.04,3350,10005,24,10,2014,936000.0
3,1.0,1010,5000,1.0,0,0,3,7,1010,0,1952,0,98107,47.675,-122.394,1680,5000,16,7,2014,470000.0
2,2.0,1510,3961,1.0,0,0,3,8,1510,0,2010,0,98053,47.709,-122.018,1510,3962,16,9,2014,485000.0
3,2.25,2390,2750,2.0,0,0,5,8,1580,810,1925,0,98109,47.6339,-122.354,2200,5160,10,3,2015,915000.0
5,3.0,2520,5500,1.0,0,0,3,8,1550,970,2004,0,98178,47.4938,-122.255,1700,8000,18,9,2014,350000.0
2,1.0,840,863,3.0,0,0,3,8,840,0,2008,0,98103,47.6974,-122.349,1110,1190,30,3,2015,291000.0
4,3.0,2530,10000,2.0,0,0,3,7,2530,0,2013,0,98148,47.431,-122.335,1420,9898,27,6,2014,459000.0
2,1.75,1180,904,2.0,0,0,3,10,780,400,2014,0,98102,47.6396,-122.329,1380,3610,29,12,2014,659000.0
4,3.0,2390,7309,2.0,0,0,4,7,2390,0,1944,1981,98002,47.294,-122.218,930,7308,15,12,2014,269950.0
3,1.75,1400,10018,1.0,0,0,4,7,1400,0,1962,0,98027,47.5327,-122.032,1350,9300,28,8,2014,389000.0
3,1.75,1710,15844,1.0,0,0,4,8,1710,0,1964,0,98059,47.4706,-122.1,1990,20359,30,9,2014,322400.0
2,2.0,1410,12282,1.5,0,0,5,8,1410,0,1909,1988,98024,47.5242,-121.926,1410,8931,2,6,2014,439900.0
4,2.5,3450,33460,2.0,0,0,3,9,3450,0,1997,0,98077,47.7673,-122.1,2820,35250,29,4,2015,805000.0
2,1.0,1120,4800,1.0,0,0,3,7,770,350,1926,0,98126,47.5669,-122.372,1510,4800,9,12,2014,363000.0
4,2.25,1790,7203,1.0,0,0,4,7,1110,680,1973,0,98155,47.7709,-122.294,2270,9000,3,6,2014,430000.0
2,2.5,2130,5001,1.0,0,0,5,8,1330,800,1972,0,98199,47.6573,-122.399,1750,6000,28,8,2014,707000.0
3,2.5,2190,5071,2.0,0,0,3,8,2190,0,2004,0,98038,47.3506,-122.04,2300,5654,17,3,2015,379900.0
3,1.5,1270,1443,3.0,0,0,3,8,1270,0,2007,0,98115,47.699,-122.317,1270,1413,20,5,2014,440000.0
1,0.75,680,9600,1.0,0,0,3,5,680,0,1947,0,98115,47.6964,-122.306,1580,6624,13,11,2014,200000.0
4,2.5,3090,9238,1.0,0,3,4,8,1680,1410,1967,0,98006,47.5654,-122.163,2690,8500,10,2,2015,940000.0
4,2.5,2095,4400,1.5,0,0,5,8,1295,800,1910,0,98116,47.5838,-122.39,1980,4400,11,9,2014,711000.0
3,1.0,840,9480,1.0,0,0,3,6,840,0,1960,0,98023,47.3277,-122.341,840,9420,22,7,2014,86500.0
3,1.0,1540,24500,1.5,0,0,3,7,1540,0,1949,0,98125,47.7213,-122.29,1540,7250,6,4,2015,1000000.0
2,1.5,1220,3568,1.5,0,0,4,8,1220,0,1976,0,98198,47.3804,-122.318,1180,3678,30,5,2014,168000.0
3,2.5,3040,4535,2.0,0,0,3,9,3040,0,2007,0,98056,47.51,-122.185,2670,4666,5,5,2014,478000.0
3,3.25,4030,6300,2.0,0,0,3,10,3630,400,2006,0,98105,47.6664,-122.276,1660,6300,21,1,2015,1312000.0
3,2.5,2420,7307,2.0,0,0,3,7,2420,0,1998,0,98065,47.5361,-121.871,2420,5577,25,6,2014,482000.0
5,3.5,4410,13000,2.0,0,3,3,10,2920,1490,2014,0,98006,47.5382,-122.111,5790,12969,13,1,2015,1881580.0
3,2.0,1430,8919,1.0,0,0,3,7,1430,0,1992,0,98022,47.2118,-121.983,1580,8919,21,7,2014,246500.0
3,2.5,2140,7715,2.0,0,0,3,7,2140,0,1991,0,98198,47.384,-122.322,1990,7628,25,8,2014,349950.0
3,1.0,960,12527,1.0,0,0,3,7,960,0,1972,0,98033,47.6891,-122.203,1220,7579,16,3,2015,550000.0
4,2.5,2820,10125,2.0,0,0,3,8,2820,0,2008,0,98155,47.7494,-122.304,1560,10125,18,3,2015,685000.0
2,2.5,1390,1302,2.0,0,0,3,7,1390,0,1987,0,98003,47.3081,-122.329,1390,2052,24,2,2015,191950.0
3,2.0,1050,18304,1.0,0,0,4,7,1050,0,1953,0,98001,47.3206,-122.269,1690,15675,6,5,2015,250000.0
4,2.0,1520,6200,1.5,0,0,3,7,1520,0,1945,0,98115,47.678,-122.269,1910,6200,2,5,2014,640000.0
4,1.75,4060,5500,2.0,0,0,5,9,2660,1400,1924,0,98102,47.6437,-122.321,3320,5500,25,7,2014,1300000.0
2,1.0,900,4600,1.0,0,0,3,6,900,0,1951,0,98117,47.6918,-122.361,1060,4600,13,6,2014,370000.0
4,2.5,2830,5010,2.0,0,0,3,9,2170,660,2000,0,98115,47.6952,-122.327,1880,5739,29,10,2014,738000.0
2,1.0,1000,6227,1.0,0,0,3,6,1000,0,1949,0,98168,47.513,-122.333,1240,6250,6,8,2014,200000.0
4,2.5,4080,10295,2.0,0,0,3,10,4080,0,1998,0,98075,47.5933,-121.982,3470,10295,9,4,2015,899000.0
3,2.25,2530,12042,2.0,0,0,3,8,2530,0,1989,0,98042,47.3742,-122.125,2480,10172,29,4,2015,380000.0
3,2.5,1660,4083,2.0,0,0,3,7,1660,0,2013,0,98038,47.3595,-122.045,1800,4087,2,10,2014,284000.0
4,1.75,1120,8250,1.0,0,0,4,7,1120,0,1966,0,98058,47.4555,-122.177,1330,7975,9,7,2014,252000.0
4,2.5,3216,5902,2.0,0,0,3,9,3216,0,2014,0,98030,47.3425,-122.179,2815,4916,29,11,2014,498445.0
2,2.5,1340,5995,2.0,0,0,3,7,1340,0,1989,0,98028,47.7366,-122.233,1540,6616,22,1,2015,275000.0
2,1.5,1210,5000,1.5,0,0,5,6,1210,0,1907,0,98117,47.6793,-122.397,1570,5000,20,9,2014,615000.0
2,1.0,810,6480,1.0,0,0,5,6,810,0,1942,0,98199,47.6493,-122.398,1920,6000,17,3,2015,510000.0
4,1.0,1200,2171,1.5,0,0,3,7,1200,0,1933,0,98133,47.7076,-122.342,1130,1598,4,5,2015,380000.0
3,1.75,2230,10403,1.0,0,0,3,8,1630,600,1968,0,98198,47.4092,-122.295,1730,9450,21,1,2015,340000.0
3,2.5,2497,4400,2.0,0,0,3,8,2497,0,2007,0,98001,47.2873,-122.283,2434,4400,25,7,2014,275000.0
3,2.25,1820,9694,1.0,0,0,3,7,1240,580,1977,0,98074,47.6157,-122.05,1820,9694,23,3,2015,415000.0
4,2.5,2820,25995,2.0,0,0,3,9,2820,0,1998,0,98010,47.3415,-122.029,3330,27653,17,11,2014,545000.0
4,2.0,1950,3757,1.0,0,0,4,6,1160,790,1908,0,98118,47.5372,-122.269,1720,3757,8,5,2015,370000.0
3,2.0,1340,9764,1.0,0,0,3,7,1340,0,1944,0,98052,47.6786,-122.161,1310,9764,26,12,2014,275000.0
2,1.0,990,6448,1.0,0,0,3,7,990,0,1948,0,98178,47.5031,-122.245,1130,7200,24,7,2014,219950.0
3,2.0,1270,1333,3.0,0,0,3,8,1270,0,2006,0,98103,47.6933,-122.342,1330,1333,18,3,2015,401000.0
3,1.75,2080,87991,1.0,0,0,3,6,1040,1040,1970,0,98014,47.6724,-121.865,2080,84300,2,10,2014,280000.0
5,3.25,3230,5000,2.0,0,1,3,9,2350,880,2002,0,98136,47.5202,-122.393,1520,5000,26,11,2014,815000.0
4,1.75,2040,6000,1.0,0,0,5,7,1020,1020,1943,0,98136,47.5507,-122.383,1440,6000,16,12,2014,500000.0
5,2.5,2990,9240,2.0,0,0,3,8,2990,0,2015,0,98133,47.7384,-122.348,1970,18110,28,8,2014,357000.0
5,2.75,2760,7200,1.0,0,0,3,7,1430,1330,1979,0,98072,47.7563,-122.147,2460,8750,8,4,2015,480000.0
3,2.0,1720,15000,1.0,0,0,3,9,1720,0,2011,0,98014,47.6927,-121.92,1900,15337,29,7,2014,441000.0
3,1.75,1610,11950,1.0,0,2,3,7,1210,400,1984,0,98052,47.6705,-122.138,1610,9363,10,9,2014,510000.0
2,1.0,1030,9192,1.0,0,0,4,6,1030,0,1959,0,98058,47.4565,-122.181,1030,9190,21,7,2014,225000.0
4,3.25,2740,5339,2.5,0,0,3,9,2740,0,2004,0,98103,47.6706,-122.356,1770,4820,7,4,2015,705000.0
3,1.0,1270,6405,1.5,0,0,3,6,1270,0,1944,0,98178,47.4959,-122.241,1110,6405,13,6,2014,153000.0
4,3.5,3780,20023,2.0,0,2,3,10,3780,0,2001,0,98029,47.5491,-122.006,2150,3675,12,9,2014,970000.0
5,2.5,2880,9000,1.0,0,0,5,8,1440,1440,1966,0,98006,47.5456,-122.179,2010,9000,29,7,2014,560000.0
4,3.25,3990,9786,2.0,0,0,3,9,3990,0,2004,0,98053,47.6784,-122.026,3920,8200,7,7,2014,866000.0
3,2.25,2080,50965,1.0,0,0,3,8,1590,490,1979,0,98077,47.7506,-122.063,2270,51836,3,9,2014,460000.0
3,1.5,1270,1483,3.0,0,0,3,8,1270,0,2007,0,98115,47.6987,-122.317,1270,1413,29,4,2015,415000.0
3,1.75,1610,7350,1.0,0,0,3,8,1610,0,1974,0,98058,47.4503,-122.131,2120,7350,19,11,2014,313500.0
4,2.25,2350,17709,2.0,0,0,4,9,2350,0,1977,0,98039,47.6232,-122.236,3360,19855,13,5,2015,1620000.0
3,2.25,1620,1075,3.0,0,0,3,8,1540,80,2009,0,98027,47.5405,-122.026,1620,1237,7,7,2014,420000.0
4,3.0,3040,11651,2.0,0,0,3,10,3040,0,1987,0,98074,47.6348,-122.038,2540,11815,28,1,2015,691000.0
4,2.5,2830,14538,2.0,0,0,3,8,2830,0,2003,0,98065,47.5405,-121.882,2270,6939,21,4,2015,695000.0
3,2.25,3370,23065,1.0,1,4,3,10,1920,1450,1980,0,98028,47.7434,-122.263,3410,19688,13,11,2014,1600000.0
2,1.0,880,5111,1.0,0,0,3,6,880,0,1931,0,98115,47.6997,-122.314,1370,5111,8,12,2014,400000.0
2,1.5,1090,1183,3.0,0,0,3,8,1090,0,2008,0,98103,47.6974,-122.349,1110,1384,15,7,2014,306000.0
4,2.5,1950,5451,2.0,0,0,3,7,1950,0,2004,0,98058,47.4341,-122.144,2240,6221,24,11,2014,360000.0
4,4.5,3130,5126,3.0,0,0,3,10,2450,680,2014,0,98112,47.6239,-122.29,2540,7784,13,11,2014,1333000.0
3,2.25,1740,5460,1.0,0,0,3,7,1210,530,1998,0,98038,47.3648,-122.046,1740,7500,21,10,2014,266500.0
3,2.25,1950,26500,1.0,0,0,4,8,1570,380,1965,0,98006,47.5784,-122.179,2160,12751,5,1,2015,550000.0
4,2.25,2920,17023,1.0,0,0,4,9,1690,1230,1977,0,98006,47.5585,-122.134,2710,10681,25,11,2014,707000.0
3,2.25,1450,1387,3.0,0,0,3,8,1450,0,2000,0,98115,47.6765,-122.302,1450,1429,23,10,2014,497000.0
4,2.25,1677,3600,2.0,0,0,3,7,1677,0,2012,0,98092,47.32,-122.178,1677,3600,21,4,2015,281000.0
3,2.5,2210,7000,2.0,0,0,4,8,2210,0,1985,0,98058,47.4377,-122.132,2260,7224,3,12,2014,412000.0
4,3.5,3200,3250,2.0,0,0,3,9,2670,530,2007,0,98029,47.5515,-122.0,3400,3663,13,6,2014,795000.0
5,2.75,2130,5000,1.0,0,0,5,7,1100,1030,1978,0,98118,47.5271,-122.274,1340,6837,2,12,2014,353000.0
3,2.5,1730,6368,2.0,0,0,3,7,1730,0,1993,0,98038,47.3505,-122.032,1780,6597,18,6,2014,315000.0
3,2.25,1810,6750,1.0,0,0,3,7,1280,530,1978,0,98023,47.2976,-122.377,1690,7770,18,2,2015,162000.0
1,1.0,900,6380,1.0,0,0,3,6,900,0,1947,0,98125,47.7019,-122.311,1830,6380,28,4,2015,395000.0
4,2.5,3350,4501,2.0,0,0,3,9,2640,710,2002,0,98117,47.688,-122.379,1000,4500,21,4,2015,925000.0
3,2.5,2320,2267,3.0,0,0,3,8,2320,0,2009,0,98177,47.7027,-122.359,1240,1883,25,6,2014,425000.0
3,2.5,1420,2581,3.0,0,0,3,7,1420,0,2004,0,98133,47.7027,-122.357,1420,2509,11,6,2014,435000.0
2,1.0,2080,14659,1.0,0,0,3,7,1040,1040,1960,0,98178,47.4858,-122.231,1920,15208,13,11,2014,315000.0
5,4.75,3940,7067,2.0,0,0,3,10,3230,710,2008,0,98004,47.6232,-122.205,1910,7735,30,7,2014,1695000.0
5,2.0,2700,10875,1.0,0,0,4,7,1540,1160,1962,0,98007,47.6163,-122.138,2040,7464,17,6,2014,580000.0
4,2.25,2270,12000,1.0,0,0,4,7,1360,910,1979,0,98072,47.7559,-122.148,2500,10120,13,4,2015,420000.0
4,2.75,2010,7000,2.0,0,0,5,8,2010,0,1901,0,98199,47.6607,-122.396,1420,4400,6,11,2014,774000.0
3,2.25,2360,5504,2.0,0,0,4,8,2080,280,1913,0,98122,47.617,-122.288,2840,5470,1,10,2014,1325000.0
2,1.0,800,5150,1.0,0,0,4,6,800,0,1949,0,98118,47.5525,-122.274,1280,5150,2,1,2015,350000.0
3,2.25,3230,17833,2.0,0,0,4,9,3230,0,1973,0,98006,47.5683,-122.188,3690,17162,20,6,2014,2110000.0
3,2.25,1870,4894,2.0,0,0,4,8,1750,120,1992,0,98033,47.6943,-122.19,1920,5988,24,1,2015,615000.0
3,2.5,1790,3754,2.0,0,0,3,8,1790,0,2013,0,98065,47.534,-121.841,1800,3393,25,9,2014,414000.0
4,3.5,3170,4000,2.0,0,0,3,10,2340,830,1999,0,98112,47.6265,-122.298,1770,4000,23,4,2015,1125000.0
3,1.5,1430,8960,1.0,0,0,4,6,1430,0,1953,0,98166,47.4759,-122.349,1560,10125,28,5,2014,270000.0
3,3.5,2420,4000,2.0,0,0,5,9,1820,600,1907,0,98122,47.6054,-122.295,2030,4550,29,9,2014,740000.0
3,2.0,1900,9975,1.0,0,0,3,8,1500,400,1973,0,98027,47.5307,-122.054,2140,9825,6,5,2015,545000.0
4,2.75,1240,3867,1.0,0,0,3,7,800,440,1987,0,98125,47.7157,-122.284,1150,7733,29,5,2014,400000.0
3,2.5,1950,8251,2.0,0,0,3,7,1950,0,1990,0,98001,47.343,-122.28,1540,8588,13,5,2014,287600.0
3,2.5,1970,4120,1.5,0,0,3,6,1230,740,1927,0,98106,47.5328,-122.346,1470,4080,7,4,2015,291700.0
4,2.5,2210,13721,2.0,0,0,3,8,2210,0,2009,0,98042,47.3122,-122.039,1850,12951,10,9,2014,353000.0
3,2.0,1480,3876,1.0,0,0,5,7,860,620,1928,0,98117,47.6808,-122.382,1660,3774,26,6,2014,663000.0
5,2.5,2840,9425,1.0,0,0,4,7,1590,1250,1962,0,98155,47.7609,-122.297,1900,11600,17,2,2015,425000.0
3,1.75,1680,2400,1.5,0,0,3,7,1170,510,1929,0,98117,47.6849,-122.367,1080,4560,16,7,2014,469000.0
3,1.75,1780,9689,1.0,0,0,3,7,1130,650,1976,0,98072,47.7628,-122.163,1660,9786,22,8,2014,354950.0
5,2.75,3490,8230,2.0,0,0,3,10,3490,0,2005,0,98075,47.5825,-121.97,3480,7331,3,2,2015,759000.0
3,1.75,1480,6800,1.0,0,0,4,7,1480,0,1968,0,98055,47.4633,-122.188,1500,7900,4,12,2014,315000.0
3,1.0,1250,18616,1.0,0,0,4,6,1250,0,1972,0,98010,47.3414,-122.047,1920,15654,8,4,2015,288349.0
3,2.5,3190,6899,2.0,0,0,3,9,3190,0,2014,0,98034,47.7153,-122.221,3190,6899,11,7,2014,814842.0
4,3.25,4140,20734,1.0,0,1,3,10,3300,840,1977,2005,98004,47.6344,-122.215,4020,20008,30,5,2014,2400000.0
4,3.25,3160,8876,2.0,0,0,3,9,2460,700,1997,0,98056,47.5153,-122.178,2900,10000,9,3,2015,558000.0
3,1.0,1200,6120,1.0,0,0,4,7,950,250,1945,0,98115,47.6929,-122.287,1550,6120,27,4,2015,476500.0
2,2.0,2370,217800,1.5,0,0,3,7,1600,770,1992,0,98027,47.5007,-122.088,2370,157687,14,5,2014,543000.0
3,2.5,2979,17313,2.0,0,2,3,11,2979,0,1993,0,98006,47.5503,-122.118,3890,14797,1,8,2014,912000.0
3,2.5,1500,1119,3.0,0,2,3,7,1110,390,2008,0,98109,47.6327,-122.346,1500,1057,23,3,2015,605000.0
4,3.0,2740,10925,1.0,0,0,3,8,1670,1070,1980,0,98058,47.4538,-122.125,2330,9940,5,3,2015,385000.0
3,1.5,1210,5200,1.0,0,0,5,6,1210,0,1969,0,98042,47.3615,-122.087,1120,5200,30,4,2015,219950.0
4,2.5,4010,37076,2.0,0,0,4,12,4010,0,1990,0,98052,47.7139,-122.106,4280,35326,8,8,2014,1325000.0
2,2.0,1580,5750,1.0,0,0,5,6,790,790,1910,0,98116,47.5668,-122.384,1580,5750,7,7,2014,558000.0
3,1.0,1320,8450,1.0,0,0,3,6,880,440,1961,0,98023,47.3278,-122.337,1320,8450,19,6,2014,232500.0
3,1.5,1310,8100,1.0,0,0,3,7,1310,0,1965,0,98034,47.7328,-122.201,1330,8100,25,8,2014,290000.0
3,2.25,2280,8500,1.0,0,0,4,7,1680,600,1977,0,98034,47.7211,-122.166,1890,7700,16,9,2014,419950.0
3,1.0,1270,4268,1.0,0,0,3,7,1270,0,1921,0,98117,47.6848,-122.392,1310,4080,21,3,2015,475000.0
4,3.0,2060,9138,1.0,0,0,3,8,1430,630,1992,0,98092,47.321,-122.185,2250,7820,30,1,2015,323400.0
3,2.5,1720,6847,2.0,0,0,3,7,1720,0,1987,0,98001,47.3266,-122.272,1610,7790,18,7,2014,263000.0
3,2.25,2090,10733,1.0,0,0,3,7,1440,650,1958,0,98115,47.6971,-122.281,1740,8100,30,6,2014,491950.0
4,3.75,4130,12320,2.0,0,0,3,11,4130,0,2001,0,98059,47.5194,-122.151,3690,11227,3,6,2014,1070000.0
2,1.0,880,7575,1.0,0,0,4,7,880,0,1942,0,98198,47.3757,-122.304,1800,7575,13,5,2015,204750.0
4,2.5,3300,165528,2.0,0,0,3,8,3300,0,1984,0,98077,47.7657,-122.028,3030,144696,30,6,2014,760000.0
4,1.75,2260,7005,1.0,0,1,4,7,1130,1130,1947,0,98033,47.6895,-122.207,2330,9180,22,5,2014,648360.0
3,2.5,1650,2807,2.0,0,0,3,7,1650,0,2004,0,98055,47.4328,-122.196,1460,1875,4,11,2014,238000.0
5,2.5,2260,10087,1.0,0,0,3,8,1520,740,1967,0,98008,47.5982,-122.128,2500,9440,27,8,2014,632000.0
3,2.5,1760,6477,2.0,0,0,4,8,1760,0,1986,0,98030,47.3731,-122.172,1890,6800,6,8,2014,267000.0
3,1.75,1560,6000,1.0,0,0,3,6,780,780,1944,0,98199,47.6501,-122.384,1560,1734,24,10,2014,525000.0
2,2.25,1130,2191,2.0,0,0,3,8,1130,0,2010,0,98052,47.6861,-122.103,1140,1710,29,12,2014,415000.0
3,1.75,1670,6900,1.0,0,0,3,7,1170,500,1978,0,98023,47.2975,-122.38,1740,7000,18,6,2014,239950.0
4,2.5,2434,4400,2.0,0,0,3,8,2434,0,2007,0,98001,47.2874,-122.283,2434,4400,16,10,2014,285000.0
3,2.0,1910,11576,1.0,0,0,3,7,1410,500,1978,0,98011,47.7356,-122.198,2040,8750,25,11,2014,390000.0
4,1.75,2320,3825,1.5,0,0,5,8,1820,500,1926,0,98105,47.6659,-122.327,1940,3825,24,6,2014,941000.0
3,1.0,940,4700,1.0,0,0,4,6,940,0,1942,0,98146,47.5117,-122.378,1020,5700,22,8,2014,267000.0
5,3.0,2700,5001,2.0,0,0,3,10,2700,0,2009,0,98115,47.6811,-122.288,1610,5191,22,1,2015,935000.0
3,1.0,970,4700,1.0,0,0,4,6,720,250,1943,0,98106,47.5285,-122.354,1560,4600,31,7,2014,172000.0
3,1.75,2090,4725,2.0,0,0,3,7,1610,480,1947,2013,98199,47.657,-122.394,1280,4725,4,6,2014,865000.0
4,2.5,1940,10500,1.0,0,0,4,7,1140,800,1976,0,98052,47.683,-122.114,2200,10500,2,5,2014,550000.0
4,3.75,4100,61419,2.0,0,0,3,9,4100,0,2014,0,98029,47.5626,-122.005,2010,32362,5,8,2014,1350000.0
2,1.0,750,4000,1.0,0,0,4,6,750,0,1926,0,98118,47.5547,-122.272,1120,5038,11,5,2015,422000.0
2,1.5,1050,934,2.0,0,0,3,8,960,90,2007,0,98122,47.6029,-122.309,1470,1885,4,12,2014,390000.0
3,2.5,1740,5267,2.0,0,0,3,7,1740,0,1999,0,98038,47.3777,-122.023,2180,5000,19,8,2014,325000.0
4,3.25,3520,19354,1.0,0,2,4,9,2010,1510,1978,0,98006,47.5572,-122.147,2630,19354,11,12,2014,1110000.0
3,3.0,2031,7702,2.0,0,0,3,9,2031,0,1988,0,98023,47.3058,-122.348,2390,7700,24,7,2014,335000.0
5,1.0,2230,16800,1.5,0,3,4,7,1700,530,1923,0,98136,47.5161,-122.395,2730,18400,9,3,2015,620000.0
3,1.75,1900,36769,1.0,0,0,3,8,1900,0,1987,0,98092,47.3041,-122.066,1950,35847,1,4,2015,335000.0
3,2.0,1230,11502,1.0,0,0,4,7,1230,0,1984,0,98052,47.7017,-122.127,1660,11727,27,5,2014,475000.0
3,2.5,1930,64904,1.0,0,0,4,8,1930,0,1988,0,98042,47.346,-122.157,2350,57500,11,5,2015,390000.0
3,3.25,1680,1478,2.0,0,0,3,8,1360,320,2009,0,98126,47.5674,-122.369,1530,2753,29,10,2014,399000.0
4,2.5,3310,5101,2.0,0,0,3,9,3310,0,2005,0,98052,47.6649,-122.08,3010,5176,23,9,2014,775000.0
3,2.5,1930,5790,2.0,0,0,4,7,1930,0,1988,0,98011,47.7733,-122.17,1790,4901,10,5,2015,435000.0
4,2.25,2390,7350,2.0,0,0,3,8,2390,0,1990,0,98023,47.2938,-122.348,2390,7350,6,12,2014,319000.0
3,2.5,1350,3068,2.0,0,0,3,7,1350,0,1991,0,98122,47.6099,-122.293,1900,4000,3,6,2014,613000.0
3,1.0,960,213008,1.0,0,0,2,6,960,0,1933,0,98024,47.5621,-121.862,1520,57499,17,3,2015,200000.0
3,0.75,1080,5025,1.0,0,0,3,5,1080,0,1948,0,98146,47.4936,-122.335,1370,6000,11,12,2014,205000.0
3,1.75,1560,16194,1.0,0,0,3,8,1560,0,1961,0,98005,47.5966,-122.175,2430,16193,7,8,2014,500000.0
3,2.0,1463,868,3.0,0,0,3,7,1463,0,2003,0,98115,47.6843,-122.317,1484,4320,5,6,2014,390000.0
4,2.75,2000,9083,2.0,0,0,4,7,2000,0,1992,0,98038,47.3511,-122.058,1690,7735,8,5,2015,323000.0
4,2.5,2490,8750,2.0,0,0,3,8,2040,450,1976,0,98008,47.5931,-122.116,2120,10240,6,8,2014,532500.0
5,4.0,7320,217800,2.0,0,0,3,11,7320,0,1992,0,98058,47.4473,-122.086,3270,34500,8,7,2014,1135250.0
3,2.5,1800,7318,2.0,0,0,3,8,1800,0,1989,0,98029,47.5747,-122.008,1800,5414,12,1,2015,495000.0
3,1.0,1230,171190,1.0,0,0,3,7,1230,0,1973,0,98070,47.4397,-122.46,1550,15450,29,9,2014,275000.0
4,2.25,2580,21115,2.0,0,0,4,9,2580,0,1977,0,98040,47.5566,-122.219,2690,10165,26,8,2014,787888.0
4,1.0,1530,7920,1.0,0,0,3,7,1030,500,1955,0,98166,47.4544,-122.36,1690,7920,10,3,2015,419950.0
3,2.75,2300,4637,2.0,0,0,3,8,2300,0,2008,0,98065,47.5216,-121.878,2420,5699,17,6,2014,479500.0
4,2.5,1930,14196,1.0,0,0,4,7,1330,600,1977,0,98072,47.7407,-122.097,1470,12852,11,3,2015,425000.0
3,1.5,1560,9600,1.0,0,0,4,7,1560,0,1961,0,98033,47.6918,-122.163,1520,10000,21,7,2014,335000.0
3,2.25,1260,1488,3.0,0,0,3,7,1260,0,2009,0,98133,47.7071,-122.336,1190,1095,11,12,2014,275000.0
3,2.0,1920,8075,1.0,0,0,4,7,1510,410,1969,0,98023,47.3092,-122.375,1920,7826,9,5,2014,260000.0
4,3.25,3160,6327,2.0,0,0,3,9,2280,880,2004,0,98027,47.536,-122.066,3160,5946,14,4,2015,840000.0
